data,categoria,prodotto,quantita,prezzo_unitario,cliente
2024-01-05,Elettronica,Mouse,2,25.90,Anna
2024-01-06,Cancelleria,Quaderno,5,3.50,Bruno
2024-01-07,Elettronica,Tastiera,1,45.00,Anna
2024-01-08,Libro,Manuale Python,1,32.00,Chiara
2024-01-10,Elettronica,Mouse,1,25.90,Davide
2024-01-12,Cancelleria,Penna,10,1.20,Anna
2024-01-15,Libro,Manuale Python,2,32.00,Bruno
2024-01-18,Elettronica,Monitor,1,189.99,Chiara
2024-01-20,Cancelleria,Quaderno,3,3.50,Davide
2024-01-22,Elettronica,Cuffie,2,59.00,Anna
